100795
7 0
5 1
1 2
4 3
2 4
101215
6 0
2 3
5 4
101047
1 0
1 1
3 2
5 3
3 4
101916
2 1
1 2
2 3
6 4
101184
7 0
4 1
1 3
7 4
101500
2 0
4 2
3 3
8 4
100808
1 0
4 3
11 4
101210
5 0
2 1
3 3
5 4
101397
1 2
4 3
10 4
101453
4 0
2 1
6 3
3 4
101091
1 0
9 1
4 3
5 4
101746
5 3
12 4
101268
8 0
2 1
4 3
9 4
101456
1 0
4 3
4 4
101218
1 0
2 1
7 3
10 4
101476
4 1
5 3
3 4
101483
1 0
1 1
1 2
4 3
6 4
101137
3 0
7 1
2 3
4 4
101318
4 3
12 4
101017
5 0
5 3
7 4
101527
4 0
7 3
9 4
101460
2 0
6 3
5 4
101690
5 0
1 1
3 3
5 4
101465
1 0
2 1
6 4
101457
4 1
3 3
7 4
101152
2 0
11 1
1 2
10 3
6 4
100923
1 0
1 1
5 3
4 4
101405
3 0
1 2
6 3
4 4
101190
6 3
6 4
100647
6 0
3 3
6 4
101237
4 0
3 3
7 4
101390
6 3
8 4
101341
1 0
3 3
8 4
101203
2 0
5 3
6 4
101500
6 1
2 2
6 3
4 4
101737
1 0
1 1
4 3
8 4
101097
1 0
4 1
1 2
4 3
12 4
101069
6 0
4 3
3 4
101239
1 0
1 1
6 3
5 4
100608
1 0
3 1
1 2
12 3
7 4
100913
1 0
1 2
3 3
5 4
103533
5 0
1 1
2 3
2 4
101385
9 0
1 1
3 3
3 4
101046
2 1
6 3
14 4
101520
2 3
10 4
100580
4 0
4 3
4 4
101293
4 3
8 4
101098
3 0
1 1
2 2
6 3
5 4
101455
3 0
1 2
4 3
3 4
100896
5 0
1 2
7 3
8 4
101342
5 0
1 0 4
2 1
4 3
3 4
101308
1 1
2 2
2 3
8 4
100762
4 1
2 3
5 4
101494
1 0
1 1
7 3
7 4
101203
1 2
2 3
12 4
101503
3 3
3 4
101463
3 0
1 1
3 3
6 4
101401
1 2
7 3
8 4
101121
12 0
2 3
7 4
100810
1 3
14 4
100772
2 0
1 1
10 4
100896
1 1
2 3
6 4
101560
3 1
4 3
6 4
100952
1 0
1 1
1 2
3 3
9 4
101348
4 0
4 1
1 2
3 3
7 4
101170
2 0
2 1
1 2
3 3
6 4
100983
4 1
2 3
6 4
101396
1 0
8 3
9 4
101716
1 1 2
2 3
9 4
101638
12 0
1 2
3 3
5 4
101640
3 1
1 2
6 3
4 4
101255
2 0
2 1
4 3
9 4
101163
1 0
2 1
1 2
3 3
4 4
100895
3 0
1 1
3 3
5 4
101089
3 0
1 0 4
1 1
4 3
5 4
101491
3 0
3 1
4 3
4 4
101556
4 1
6 3
1 4
101294
6 3
10 4
101516
1 0
2 1
4 3
8 4
101659
2 0
3 3
4 4
100877
4 0
11 3
6 4
101128
2 0
1 3
4 4
100915
5 0
4 3
10 4
100835
4 1
4 3
3 4
101227
1 0
6 1
8 3
7 4
101435
3 0
1 1
2 3
3 4
102605
1 2
4 3
6 4
101470
8 1
4 3
4 4
101030
4 0
7 4
100839
1 0
3 1
1 2
1 3
7 4
101653
2 1
2 3
5 4
100849
1 2
8 3
14 4
101597
1 0
3 3
10 4
101113
9 1
1 2
3 3
2 4
101292
3 1
1 1 3
1 2
6 3
7 4
101197
2 1
1 3
3 4
101336
1 1
2 3
19 4
101171
1 0
12 1
6 3
2 4
101429
1 0
1 1
3 3
11 4
101560
1 0
4 3
7 4
